HOG	OG	Gene Tree Parent Clade	Scerevisiae	Ndairenensis	Smikatae	Skudriavzevii	Tblattae	Suvarum	Tphaffii	Tdelbrueckii	Zrouxii	Vpolyspora	Ecymbalariae	Cglabrata	Kafricana	Egossypii	Knaganishii	Klactis	Lthermotolerans	Lkluyveri	Ncastellii	Lwaltii
N0.HOG0000045	OG0000008	n61			Smik_6.368	Skud_16.110					ZYRO0F16852g, ZYRO0G15444g				KAFR0B04485							
N0.HOG0000046	OG0000008	n67									ZYRO0C11924g, ZYRO0F13618g, ZYRO0C11902g, ZYRO0F12144g				KAFR0E00120, KAFR0I00110						NCAS0D04260	
N0.HOG0000047	OG0000009	n0		NDAI0G00540, NDAI0B04850, NDAI0D00680, NDAI0G00550, NDAI0G00600	Smik_12.566, Smik_49.2	Skud_2.338, Skud_46.3, Skud_12.300	TBLA0A10570, TBLA0E02360		TPHA0H01270	TDEL0H04520, TDEL0E00260, TDEL0H00100		Kpol_1055.48, Kpol_1066.31, Kpol_1066.30			KAFR0B06620		KNAG0E03750, KNAG0A01870, KNAG0B03890, KNAG0D03630					Kwal_12.679, Kwal_1.411, Kwal_50.19416, Kwal_47.19346, Kwal_23.3715, Kwal_33.15405, Kwal_47.19344, Kwal_34.16307, Kwal_12.676, Kwal_23.3713, Kwal_39.16423, Kwal_47.17033, Kwal_1.407, Kwal_26.7891, Kwal_33.15089, Kwal_13.691, Kwal_47.17031, Kwal_34.16309, Kwal_54.19474, Kwal_47.17665, Kwal_27.11219, Kwal_36.16338, Kwal_2.424, Kwal_50.19418, Kwal_23.3714, Kwal_1.410, Kwal_14.767, Kwal_9.619, Kwal_26.7889, Kwal_55.19798, Kwal_12.675, Kwal_34.16308, Kwal_47.19345, Kwal_39.16409, Kwal_27.12438, Kwal_54.19470, Kwal_55.19799, Kwal_14.764, Kwal_60.24910, Kwal_9.616, Kwal_47.19342, Kwal_39.16392, Kwal_55.22271, Kwal_50.19421, Kwal_26.7403, Kwal_34.16304, Kwal_39.16421, Kwal_47.17669, Kwal_36.16337, Kwal_34.15661, Kwal_23.3711, Kwal_1.406, Kwal_33.15092, Kwal_26.7895, Kwal_12.680, Kwal_2.422
N0.HOG0000048	OG0000010	n2					TBLA0E03930			TDEL0F01170												
N0.HOG0000049	OG0000010	n15	YPR013C	NDAI0A07540, NDAI0B03080, NDAI0C06260, NDAI0B01940, NDAI0B02080	Smik_16.253	Skud_16.298	TBLA0G03240, TBLA0I02060, TBLA0B06410	Suva_16.335	TPHA0A03910, TPHA0A04530			Kpol_1065.48, Kpol_1052.8, Kpol_495.20, Kpol_1018.35, Kpol_541.39	Ecym_8011, Ecym_2673, Ecym_8389, Ecym_8388, Ecym_8379, Ecym_1383, Ecym_8377	CAGL0M01870g, CAGL0L05786g	KAFR0H01290, KAFR0C00340, KAFR0A01840	ADR308C, AGL207W, ADL051W, ADL042W, AEL077W, ADL040W	KNAG0J02250, KNAG0H01070	KLLA0F11682g, KLLA0F22319g, KLLA0F20636g, KLLA0A04609g	KLTH0H08800g, KLTH0C04884g, KLTH0D06798g	SAKL0D02618g, SAKL0D15136g, SAKL0A10582g, SAKL0A10648g, SAKL0A09438g, SAKL0H20394g, SAKL0H20416g	NCAS0I01460, NCAS0J00640, NCAS0B05750, NCAS0F00910, NCAS0F00920, NCAS0B04660, NCAS0B04670	Kwal_14.2206, Kwal_27.10467, Kwal_26.8011
N0.HOG0000050	OG0000010	n14													KAFR0B01990		KNAG0D02290					
N0.HOG0000051	OG0000010	n6									ZYRO0E02684g						KNAG0D02280					
N0.HOG0000052	OG0000010	n7	YPR015C		Smik_16.255	Skud_16.300		Suva_16.338							KAFR0B02000, KAFR0C03140		KNAG0G01140				NCAS0C04230	
N0.HOG0000053	OG0000011	n0	YIL011W, YBR067C, YOR009W, YOR010C, YER011W	NDAI0H01300, NDAI0H01290, NDAI0A07480, NDAI0F02120, NDAI0J02580, NDAI0I03040, NDAI0J01370, NDAI0G03460, NDAI0G04990, NDAI0A03890, NDAI0A08350, NDAI0E03650	Smik_9.183, Smik_2.200, Smik_15.183, Smik_15.184, Smik_5.127, Smik_5.126	Skud_9.161, Skud_2.190, Skud_15.171, Skud_15.172, Skud_5.111, Skud_5.112	TBLA0J01810, TBLA0A01140, TBLA0A01110, TBLA0J01865, TBLA0J01790	Suva_9.193, Suva_4.306, Suva_15.186, Suva_15.187, Suva_5.100, Suva_5.99	TPHA0L00800, TPHA0I02160, TPHA0I02190, TPHA0L00795, TPHA0I02140, TPHA0I02210				Ecym_4465, Ecym_1223	CAGL0C03872g, CAGL0L07502g, CAGL0F01485g, CAGL0H09592g, CAGL0H09614g, CAGL0F01463g	KAFR0K01210, KAFR0K01220, KAFR0G02740, KAFR0G02805, KAFR0I02140, KAFR0G02810, KAFR0G02820, KAFR0K01040, KAFR0B07040	ADR019C	KNAG0G01030, KNAG0J00780, KNAG0L00920, KNAG0L00870			SAKL0F04356g	NCAS0F00800, NCAS0I01540, NCAS0I00660, NCAS0I00690, NCAS0E02110	
N0.HOG0000054	OG0000012	n0									ZYRO0A13574g, ZYRO0G22506g, ZYRO0G15400g, ZYRO0B16742g, ZYRO0F18656g, ZYRO0E10362g, ZYRO0G00242g, ZYRO0C18546g, ZYRO0B00330g, ZYRO0F05214g							KLLA0D11000g	KLTH0F04026g			
N0.HOG0000055	OG0000012	n72								TDEL0C00230, TDEL0C02800												
N0.HOG0000056	OG0000012	n36												CAGL0E05170g, CAGL0E05280g	KAFR0C00150, KAFR0A08720, KAFR0A08710		KNAG0H03850, KNAG0D00120					
N0.HOG0000057	OG0000012	n15	YDR541C		Smik_4.822	Skud_13.7, Skud_5.12	TBLA0C03410, TBLA0C03420, TBLA0C03430		TPHA0O01220, TPHA0O00640, TPHA0M01160, TPHA0A00590	TDEL0A00160		Kpol_529.27, Kpol_1030.19										Kwal_56.23863
N0.HOG0000058	OG0000012	n29					TBLA0A01590, TBLA0C00280, TBLA0D00750, TBLA0C00270		TPHA0N01940, TPHA0F03690			Kpol_1057.21, Kpol_416.7										
N0.HOG0000059	OG0000012	n43		NDAI0D00910, NDAI0D05090						TDEL0D00270										SAKL0D15158g	NCAS0A03090	
N0.HOG0000060	OG0000012	n47	YGL039W, YGL157W, YOL151W	NDAI0I02450, NDAI0F01560	Smik_7.247, Smik_7.116, Smik_15.4	Skud_7.245, Skud_7.115, Skud_15.4		Suva_7.236, Suva_7.108, Suva_15.10												SAKL0B00176g	NCAS0C05980, NCAS0D04850, NCAS0H00790, NCAS0C05270, NCAS0D02420, NCAS0A07210, NCAS0D03480, NCAS0D01060, NCAS0G03820, NCAS0A03400	
N0.HOG0000061	OG0000013	n0	YHR145C, YOR192C-C, YIL060W			Skud_16.472, Skud_2.107, Skud_11.22, Skud_13.93, Skud_83.1, Skud_6.71, Skud_4.502, Skud_14.56, Skud_41.6, Skud_12.419, Skud_8.54, Skud_33.3, Skud_15.178, Skud_7.307, Skud_7.519, Skud_12.385, Skud_6.82, Skud_15.293, Skud_13.256, Skud_12.184, Skud_15.130, Skud_12.505, Skud_6.85, Skud_10.184, Skud_4.347, Skud_7.428, Skud_7.317, Skud_16.457, Skud_5.17, Skud_5.64, Skud_7.456, Skud_12.304, Skud_16.429, Skud_5.113, Skud_3.69, Skud_10.213, Skud_7.157, Skud_4.432, Skud_5.323, Skud_7.184, Skud_13.110, Skud_5.272, Skud_2.93, Skud_12.294, Skud_3.83, Skud_12.416, Skud_3.62, Skud_13.320, Skud_16.357, Skud_12.229, Skud_42.1, Skud_11.158, Skud_39.1, Skud_4.817, Skud_12.355, Skud_15.454, Skud_4.43		Suva_4.291, Suva_10.443, Suva_8.45, Suva_15.196, Suva_10.90, Suva_5.310, Suva_2.7, Suva_5.50, Suva_2.595, Suva_6.58, Suva_2.685														
N0.HOG0000062	OG0000014	n1	YHL040C	NDAI0H00140	Smik_8.1	Skud_8.3	TBLA0C01040	Suva_8.12	TPHA0K02330		ZYRO0G07414g			CAGL0E04092g	KAFR0I01560		KNAG0J02980				NCAS0I00110	
N0.HOG0000063	OG0000014	n31					TBLA0F00470											KLLA0D19945g				
N0.HOG0000064	OG0000014	n34	YCL073C, YKR106W		Smik_11.370	Skud_18.6													KLTH0G00198g, KLTH0B00110g			Kwal_14.722
N0.HOG0000065	OG0000014	n42	YEL065W	NDAI0I02650	Smik_5.22	Skud_5.24		Suva_5.2											KLTH0A01562g	SAKL0C12122g	NCAS0D02350	Kwal_23.5241
N0.HOG0000066	OG0000014	n54		NDAI0A02050	Smik_6.22	Skud_6.14		Suva_10.9	TPHA0B00180, TPHA0G03780	TDEL0A03210		Kpol_416.6, Kpol_416.5, Kpol_513.33			KAFR0C02660, KAFR0D00930				KLTH0G09504g	SAKL0G06600g	NCAS0A11500	Kwal_23.4853
N0.HOG0000067	OG0000014	n8								TDEL0H00130								KLLA0E14609g, KLLA0C00220g	KLTH0B10450g, KLTH0D00110g, KLTH0A07964g	SAKL0F00110g, SAKL0E00132g		Kwal_34.15711, Kwal_23.2794
N0.HOG0000068	OG0000014	n18																KLLA0A10439g, KLLA0C19272g	KLTH0D18150g	SAKL0F00792g, SAKL0G03300g		Kwal_56.22298
N0.HOG0000069	OG0000014	n46							TPHA0M00120	TDEL0B00140		Kpol_358.4										
N0.HOG0000070	OG0000015	n1								TDEL0E02990							KNAG0A06930				NCAS0A05300	
N0.HOG0000071	OG0000015	n4						Suva_13.457													NCAS0D01880	
N0.HOG0000072	OG0000015	n27		NDAI0F00630, NDAI0G01450, NDAI0F01020, NDAI0C01160, NDAI0G03590			TBLA0A10140							CAGL0G07183g2			KNAG0E03490				NCAS0H00470, NCAS0H03510, NCAS0A05290, NCAS0B05760	
N0.HOG0000073	OG0000015	n38							TPHA0A04250					CAGL0G07183g1		AGL178W						
N0.HOG0000074	OG0000015	n21				Skud_11.27, Skud_15.222, Skud_7.229, Skud_15.221	TBLA0B01740					Kpol_1002.78										
N0.HOG0000075	OG0000015	n8			Smik_13.153, Smik_13.152	Skud_15.223	TBLA0B06855, TBLA0D01490, TBLA0A00530, TBLA0F00660, TBLA0A08180, TBLA0D01360, TBLA0C03820, TBLA0C06370			TDEL0G03380		Kpol_1036.49										
N0.HOG0000076	OG0000015	n20			Smik_13.151	Skud_5.220																
N0.HOG0000077	OG0000015	n67															KNAG0E02760					Kwal_56.22673
N0.HOG0000078	OG0000015	n44				Skud_11.26, Skud_7.230, Skud_15.220	TBLA0B06850, TBLA0A00210, TBLA0C06360, TBLA0F00657, TBLA0A00520															
N0.HOG0000079	OG0000015	n52	YIL080W	NDAI0C03530, NDAI0K00353, NDAI0C01570		Skud_15.340, Skud_15.511				TDEL0C06480		Kpol_222.2, Kpol_1048.75, Kpol_1031.4	Ecym_5175		KAFR0F01500							Kwal_26.8300, Kwal_23.5250, Kwal_56.22670
